    81    0.21537E+04    0.47237E+00    0.17382E-02   -0.11475E+02
    82    0.21813E+04    0.48697E+00    0.17814E-02   -0.12040E+02
    83    0.22092E+04    0.50167E+00    0.18252E-02   -0.12613E+02
    84    0.22374E+04    0.51646E+00    0.18696E-02   -0.13193E+02
    85    0.22657E+04    0.53131E+00    0.19145E-02   -0.13781E+02
    86    0.22943E+04    0.54623E+00    0.19600E-02   -0.14376E+02
    87    0.23231E+04    0.56119E+00    0.20060E-02   -0.14977E+02
    88    0.23521E+04    0.57619E+00    0.20526E-02   -0.15583E+02
    89    0.23813E+04    0.59120E+00    0.20998E-02   -0.16195E+02
    90    0.24107E+04    0.60623E+00    0.21475E-02   -0.16811E+02
    91    0.24402E+04    0.62125E+00    0.21959E-02   -0.17433E+02
    92    0.24701E+04    0.63624E+00    0.22448E-02   -0.18059E+02
    93    0.25001E+04    0.65121E+00    0.22942E-02   -0.18690E+02
    94    0.25303E+04    0.66612E+00    0.23443E-02   -0.19325E+02
    95    0.25608E+04    0.68098E+00    0.23949E-02   -0.19963E+02
    96    0.25914E+04    0.69575E+00    0.24462E-02   -0.20606E+02
    97    0.26223E+04    0.71045E+00    0.24980E-02   -0.21250E+02
    98    0.26534E+04    0.72503E+00    0.25504E-02   -0.21898E+02
    99    0.26847E+04    0.73949E+00    0.26035E-02   -0.22548E+02
   100    0.27162E+04    0.75383E+00    0.26571E-02   -0.23197E+02
   101    0.27480E+04    0.76805E+00    0.27114E-02   -0.23849E+02
   102    0.27799E+04    0.78205E+00    0.27662E-02   -0.24499E+02
   103    0.28121E+04    0.79590E+00    0.28217E-02   -0.25150E+02
   104    0.28444E+04    0.80953E+00    0.28779E-02   -0.25799E+02
   105    0.28770E+04    0.82302E+00    0.29346E-02   -0.26447E+02
   106    0.29097E+04    0.83628E+00    0.29920E-02   -0.27093E+02
   107    0.29426E+04    0.84925E+00    0.30500E-02   -0.27736E+02
   108    0.29757E+04    0.86208E+00    0.31087E-02   -0.28376E+02
