    48    0.13741E+04    0.10216E+00    0.00000E+00    0.73246E+00    0.13141E-06    0.91037E-03   -0.17731E-06
    49    0.13942E+04    0.10911E+00    0.00000E+00    0.55958E+00    0.13087E-06    0.89040E-03   -0.28490E-06
    50    0.14145E+04    0.11638E+00    0.00000E+00    0.37508E+00    0.13032E-06    0.87077E-03   -0.37913E-06
    51    0.14350E+04    0.12394E+00    0.00000E+00    0.18069E+00    0.12975E-06    0.85138E-03   -0.44597E-06
    52    0.14559E+04    0.13179E+00    0.00000E+00   -0.23682E-01    0.12916E-06    0.83235E-03   -0.48529E-06
    53    0.14768E+04    0.13993E+00    0.00000E+00   -0.23865E+00    0.12857E-06    0.81384E-03   -0.50036E-06
    54    0.14979E+04    0.14835E+00    0.00000E+00   -0.46502E+00    0.12796E-06    0.79602E-03   -0.49449E-06
    55    0.15191E+04    0.15704E+00    0.00000E+00   -0.70385E+00    0.12733E-06    0.77904E-03   -0.47095E-06
    56    0.15405E+04    0.16601E+00    0.00000E+00   -0.95719E+00    0.12670E-06    0.76302E-03   -0.43311E-06
    57    0.15623E+04    0.17525E+00    0.00000E+00   -0.12266E+01    0.12606E-06    0.74785E-03   -0.38480E-06
    58    0.15843E+04    0.18477E+00    0.00000E+00   -0.15112E+01    0.12540E-06    0.73336E-03   -0.32991E-06
    59    0.16065E+04    0.19458E+00    0.00000E+00   -0.18097E+01    0.12474E-06    0.71939E-03   -0.27234E-06
    60    0.16289E+04    0.20467E+00    0.00000E+00   -0.21210E+01    0.12407E-06    0.70578E-03   -0.21601E-06
    61    0.16516E+04    0.21504E+00    0.00000E+00   -0.24450E+01    0.12339E-06    0.69238E-03   -0.16426E-06
    62    0.16743E+04    0.22569E+00    0.00000E+00   -0.27817E+01    0.12271E-06    0.67914E-03   -0.11837E-06
    63    0.16973E+04    0.23660E+00    0.00000E+00   -0.31314E+01    0.12202E-06    0.66605E-03   -0.79069E-07
    64    0.17205E+04    0.24777E+00    0.00000E+00   -0.34944E+01    0.12133E-06    0.65308E-03   -0.47108E-07
    65    0.17439E+04    0.25921E+00    0.00000E+00   -0.38709E+01    0.12063E-06    0.64020E-03   -0.23224E-07
    66    0.17677E+04    0.27089E+00    0.00000E+00   -0.42611E+01    0.11993E-06    0.62741E-03   -0.82810E-08
    67    0.17917E+04    0.28281E+00    0.00000E+00   -0.46640E+01    0.11922E-06    0.61480E-03   -0.36456E-08
    68    0.18159E+04    0.29496E+00    0.00000E+00   -0.50787E+01    0.11852E-06    0.60247E-03   -0.10809E-07
    69    0.18402E+04    0.30733E+00    0.00000E+00   -0.55043E+01    0.11781E-06    0.59054E-03   -0.31260E-07
    70    0.18648E+04    0.31992E+00    0.00000E+00   -0.59401E+01    0.11710E-06    0.57911E-03   -0.66488E-07
    71    0.18894E+04    0.33272E+00    0.00000E+00   -0.63861E+01    0.11639E-06    0.56825E-03   -0.11592E-06
    72    0.19143E+04    0.34574E+00    0.00000E+00   -0.68431E+01    0.11568E-06    0.55793E-03   -0.17079E-06
    73    0.19396E+04    0.35896E+00    0.00000E+00   -0.73121E+01    0.11497E-06    0.54806E-03   -0.22024E-06
    74    0.19651E+04    0.37239E+00    0.00000E+00   -0.77931E+01    0.11426E-06    0.53855E-03   -0.25349E-06
    75    0.19911E+04    0.38601E+00    0.00000E+00   -0.82870E+01    0.11355E-06    0.52932E-03   -0.25971E-06
    76    0.20174E+04    0.39979E+00    0.00000E+00   -0.87929E+01    0.11284E-06    0.52030E-03   -0.23195E-06
    77    0.20439E+04    0.41373E+00    0.00000E+00   -0.93087E+01    0.11213E-06    0.51145E-03   -0.17859E-06
    78    0.20705E+04    0.42781E+00    0.00000E+00   -0.98361E+01    0.11142E-06    0.50272E-03   -0.11183E-06
    79    0.20974E+04    0.44204E+00    0.00000E+00   -0.10373E+02    0.11071E-06    0.49409E-03   -0.43883E-07
    80    0.21244E+04    0.45639E+00    0.00000E+00   -0.10919E+02    0.11000E-06    0.48551E-03    0.13089E-07
    81    0.21518E+04    0.47085E+00    0.00000E+00   -0.11475E+02    0.10929E-06    0.47696E-03    0.49317E-07
    82    0.21794E+04    0.48543E+00    0.00000E+00   -0.12040E+02    0.10859E-06    0.46848E-03    0.64669E-07
    83    0.22073E+04    0.50010E+00    0.00000E+00   -0.12614E+02    0.10788E-06    0.46011E-03    0.61419E-07
    84    0.22354E+04    0.51485E+00    0.00000E+00   -0.13194E+02    0.10718E-06    0.45190E-03    0.41836E-07
    85    0.22637E+04    0.52967E+00    0.00000E+00   -0.13783E+02    0.10648E-06    0.44389E-03    0.81883E-08
    86    0.22923E+04    0.54456E+00    0.00000E+00   -0.14378E+02    0.10579E-06    0.43611E-03   -0.36821E-07
    87    0.23211E+04    0.55949E+00    0.00000E+00   -0.14979E+02    0.10509E-06    0.42857E-03   -0.88738E-07
